"Control_1"	"Control_2"	"Control_3"	"Control_4"	"Du_1"	"Du_2"	"Du_3"	"Du_4"	"name"
"D9R1F9"	NA	204940	162170	402890	1553700	2202300	2144300	2434900	"D9R1F9_CLOSW Two component transcriptional regulator, winged helix family OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3971 PE=4 SV=1;tr"
"D9R1G2"	109020	182160	64738	192840	1056300	1089800	2185100	1126300	"D9R1G2_CLOSW Tagatose-6-phosphate kinase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3974 PE=3 SV=1"
"D9R1G3"	NA	NA	NA	NA	NA	NA	2485600	NA	"D9R1G3_CLOSW Phosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3975 PE=4 SV=1"
"D9R1G6"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1G6_CLOSW PTS system, mannitol-specific IIC subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3978 PE=4 SV=1"
"D9R1G7"	997910	1470300	1057400	2608600	9652700	9650200	20800000	15455000	"D9R1G7_CLOSW S-adenosylmethionine synthase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3979 PE=3 SV=1"
"D9R1H5"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1H5_CLOSW UDP-glucose 4-epimerase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3987 PE=4 SV=1"
"D9R1H9"	NA	NA	NA	NA	81376	58943	335660	123850	"D9R1H9_CLOSW UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=murA PE=3 SV=1"
"D9R1I0"	NA	NA	NA	NA	NA	NA	30424	NA	"D9R1I0_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3992 PE=4 SV=1"
"D9R1I2"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1I2_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3994 PE=4 SV=1"
"D9R1I3"	NA	1149000	533610	798880	1689500	2790100	4184900	1310800	"D9R1I3_CLOSW ATP synthase epsilon chain OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=atpC PE=3 SV=1"
"D9R1I4"	3928300	3954000	2878200	6207000	7992100	9703500	14701000	11003000	"D9R1I4_CLOSW ATP synthase subunit beta OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=atpD PE=3 SV=1"
"D9R1I5"	NA	351490	282730	537260	775020	439320	1586900	1960000	"D9R1I5_CLOSW ATP synthase gamma chain OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=atpG PE=3 SV=1"
"D9R1I6"	3647800	3488100	2564800	4631600	10385000	10513000	13192000	8598700	"D9R1I6_CLOSW ATP synthase subunit alpha OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=atpA PE=3 SV=1"
"D9R1I7"	NA	NA	152140	265280	NA	NA	NA	NA	"D9R1I7_CLOSW ATP synthase subunit delta OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=atpH PE=3 SV=1"
"D9R1I8"	17994000	16991000	15194000	15445000	16734000	19585000	24164000	11581000	"D9R1I8_CLOSW ATP synthase subunit b OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=atpF PE=3 SV=1"
"D9R1J3"	NA	NA	45364	NA	NA	NA	NA	NA	"D9R1J3_CLOSW Microcompartments protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4005 PE=4 SV=1;tr"
"D9R1L5"	1113500	1112900	1259000	1492200	4811300	4769200	5181800	4643000	"D9R1L5_CLOSW Thioredoxin OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4027 PE=3 SV=1"
"D9R1L7"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1L7_CLOSW YhgE/Pip N-terminal domain protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4029 PE=4 SV=1"
"D9R1M6"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1M6_CLOSW PTS system fructose subfamily IIA component OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4038 PE=4 SV=1"
"D9R1M8"	NA	NA	NA	NA	1071100	NA	2413600	NA	"D9R1M8_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4041 PE=4 SV=1"
"D9R1M9"	302450	360930	253160	530700	1921700	2071100	3840200	2809900	"D9R1M9_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4042 PE=4 SV=1"
"D9R1P6"	774380	631670	823950	1048100	579260	995500	1358500	904580	"D9R1P6_CLOSW ATP-dependent zinc metalloprotease FtsH OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=ftsH PE=3 SV=1"
"D9R1Q0"	NA	NA	NA	138740	489470	359320	NA	NA	"D9R1Q0_CLOSW Histidine triad (HIT) protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0148 PE=4 SV=1"
"D9R1Q2"	30054	NA	108570	317830	1883300	2807000	3600600	3523300	"D9R1Q2_CLOSW UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=murG PE=3 SV=1"
"D9R1Q7"	630050	1029000	NA	1875300	2836500	2786100	5640700	NA	"D9R1Q7_CLOSW Lipoprotein LpqB, GerMN domain protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0155 PE=4 SV=1"
"D9R1Q9"	NA	NA	NA	NA	60158	50206	323610	162650	"D9R1Q9_CLOSW Methionine--tRNA ligase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0157 PE=3 SV=1"
"D9R1R2"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1R2_CLOSW Ribosomal RNA small subunit methyltransferase A OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rsmA PE=3 SV=1"
"D9R1R5"	90143	76256	30243	107070	2308400	6052200	3797700	3117500	"D9R1R5_CLOSW 67 kDa myosin-cross-reactive antigen family protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0163 PE=4 SV=1"
"D9R1R6"	1295200	1423800	1399800	1857200	4058100	4493600	11357000	7544900	"D9R1R6_CLOSW Extracellular solute-binding protein family 5 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0164 PE=4 SV=1"
"D9R1R7"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1R7_CLOSW UPF0340 protein Closa_0165 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0165 PE=3 SV=1"
"D9R1R9"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1R9_CLOSW Hemerythrin-like metal-binding protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0167 PE=4 SV=1"
"D9R1S1"	NA	NA	NA	100470	NA	NA	NA	NA	"D9R1S1_CLOSW Glucosamine-6-phosphate deaminase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0169 PE=3 SV=1"
"D9R1S3"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1S3_CLOSW Anaerobic ribonucleoside-triphosphate reductase activating protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0171 PE=4 SV=1"
"D9R1S6"	NA	NA	NA	NA	63809	68979	31146	82116	"D9R1S6_CLOSW DNA polymerase III, subunits gamma and tau OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0174 PE=4 SV=1"
"D9R1S7"	NA	NA	NA	NA	NA	504070	451520	NA	"D9R1S7_CLOSW Nucleoid-associated protein Closa_0175 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0175 PE=3 SV=1"
"D9R1S8"	NA	NA	NA	NA	NA	NA	737880	NA	"D9R1S8_CLOSW Recombination protein RecR OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=recR PE=3 SV=1"
"D9R1S9"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1S9_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0177 PE=4 SV=1"
"D9R1T0"	NA	68418	57264	NA	242820	323450	1028000	119090	"D9R1T0_CLOSW Cof-like hydrolase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0178 PE=4 SV=1"
"D9R1U1"	192930	248200	262030	372870	140440	393700	500730	150750	"D9R1U1_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0189 PE=4 SV=1"
"D9R1U4"	NA	NA	NA	NA	NA	NA	393860	NA	"D9R1U4_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0192 PE=4 SV=1"
"D9R1U5"	NA	7856.2	NA	NA	41906	107330	252160	84522	"D9R1U5_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0193 PE=4 SV=1"
"D9R1W4"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R1W4_CLOSW Methyl-accepting chemotaxis sensory transducer OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0215 PE=4 SV=1"
"D9R1W6"	168430	NA	111200	1890000	1953400	559800	1812900	2474400	"D9R1W6_CLOSW Iron-containing alcohol dehydrogenase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0217 PE=4 SV=1"
"D9R1X2"	2358800	3103600	2128000	3140800	2831300	3688500	3263700	4104800	"D9R1X2_CLOSW Methyl-accepting chemotaxis sensory transducer with Cache sensor OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0223 PE=4 SV=1"
"D9R1Y1"	641200	2213500	2848200	2118500	1852100	12133000	5774100	10609000	"D9R1Y1_CLOSW Single-stranded DNA-binding protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0232 PE=3 SV=1"
"D9R1Y2"	1596200	1422100	849470	3295900	5985100	8065300	9542800	11342000	"D9R1Y2_CLOSW 30S ribosomal protein S18 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsR PE=3 SV=1;tr"
"D9R1Y3"	50105	112770	41339	73569	50354	51337	294660	180680	"D9R1Y3_CLOSW Methyl-accepting chemotaxis sensory transducer with Cache sensor OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0234 PE=4 SV=1"
"D9R1Z9"	NA	NA	NA	171940	176300	1396600	807510	1328500	"D9R1Z9_CLOSW Transcriptional regulator, GntR family OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0250 PE=4 SV=1"
"D9R202"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R202_CLOSW Two component transcriptional regulator, AraC family OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0253 PE=4 SV=1"
"D9R204"	361780	772590	700410	1010600	916350	1433700	3114500	2034800	"D9R204_CLOSW Periplasmic binding protein/LacI transcriptional regulator OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0255 PE=4 SV=1"
"D9R211"	10402000	12186000	10813000	19533000	33256000	36972000	59237000	47141000	"D9R211_CLOSW Phosphonate ABC transporter, periplasmic phosphonate-binding protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_0262 PE=4 SV=1"
"D9R212"	NA	NA	433280	NA	NA	246430	296190	NA	"D9R212_CLOSW Phosphonates import ATP-binding protein PhnC OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=phnC PE=3 SV=1"
"D9R223"	9534600	10638000	7594800	14664000	29530000	27398000	44757000	32475000	"D9R223_CLOSW Extracellular ligand-binding receptor OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2094 PE=4 SV=1"
"D9R224"	NA	NA	NA	NA	NA	NA	578990	NA	"D9R224_CLOSW Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=gpsA PE=3 SV=1"
"D9R225"	62050	NA	NA	NA	NA	142800	172750	NA	"D9R225_CLOSW Glycerol-3-phosphate acyltransferase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=plsY PE=3 SV=1"
"D9R226"	466130	359300	191140	467720	1980700	1657100	4760800	2809000	"D9R226_CLOSW GTPase Der OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=der PE=3 SV=1"
"D9R228"	NA	NA	NA	NA	139890	NA	232890	NA	"D9R228_CLOSW Ribose-phosphate pyrophosphokinase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2099 PE=3 SV=1"
"D9R232"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R232_CLOSW Ribosome biogenesis GTPase A OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2103 PE=3 SV=1;tr"
"D9R234"	1131500	1459300	1361200	3789000	10555000	15350000	4652500	12002000	"D9R234_CLOSW 50S ribosomal protein L19 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplS PE=3 SV=1"
"D9R238"	1737500	802690	1334800	2868600	1792000	4037400	4105600	4279700	"D9R238_CLOSW 30S ribosomal protein S16 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsP PE=3 SV=1"
"D9R239"	NA	NA	NA	NA	819060	1216200	1943600	2045800	"D9R239_CLOSW Signal recognition particle protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=ffh PE=3 SV=1"
"D9R241"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R241_CLOSW Alpha/beta hydrolase fold protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2112 PE=4 SV=1"
"D9R243"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R243_CLOSW Seryl-tRNA synthetase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2114 PE=4 SV=1"
"D9R246"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R246_CLOSW Thiamine pyrophosphokinase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2117 PE=4 SV=1"
"D9R249"	82449	56770	29079	89102	65291	126780	200610	NA	"D9R249_CLOSW Serine/threonine protein kinase with PASTA sensor(S) OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2120 PE=3 SV=1"
"D9R253"	296930	314040	192080	449250	NA	610220	460910	NA	"D9R253_CLOSW Peptidase membrane zinc metallopeptidase putative OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2124 PE=4 SV=1"
"D9R258"	NA	NA	NA	NA	NA	NA	849240	NA	"D9R258_CLOSW UDP-N-acetylmuramyl-tripeptide synthetase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2129 PE=3 SV=1"
"D9R259"	NA	NA	NA	48859	NA	NA	185000	NA	"D9R259_CLOSW Formate--tetrahydrofolate ligase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=fhs PE=3 SV=1"
"D9R260"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R260_CLOSW Cell division protein FtsK/SpoIIIE OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2131 PE=4 SV=1"
"D9R264"	3395700	3768900	4839800	4323600	8801400	9663900	11579000	14809000	"D9R264_CLOSW Periplasmic binding protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2135 PE=4 SV=1"
"D9R266"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R266_CLOSW ABC transporter related protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2137 PE=4 SV=1"
"D9R268"	NA	NA	NA	NA	NA	NA	323240	NA	"D9R268_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2139 PE=4 SV=1"
"D9R269"	232030	351790	240100	568380	1368200	2108800	2175900	1494200	"D9R269_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2140 PE=4 SV=1"
"D9R270"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R270_CLOSW NLP/P60 protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2141 PE=4 SV=1"
"D9R271"	NA	36977	NA	NA	NA	NA	NA	NA	"D9R271_CLOSW ABC transporter related protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2142 PE=4 SV=1"
"D9R273"	1791900	2287000	1585600	3523500	4667200	5391400	9785100	6877800	"D9R273_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2144 PE=4 SV=1"
"D9R288"	NA	NA	NA	693930	NA	533270	2236500	761820	"D9R288_CLOSW RelA/SpoT domain protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2159 PE=4 SV=1"
"D9R289"	1653500	2396700	1882200	2713800	4186600	4826600	13520000	6476000	"D9R289_CLOSW Iron-sulfur cluster carrier protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2160 PE=3 SV=1"
"D9R291"	NA	1669700	585010	2499100	2280500	4190900	3794600	5833500	"D9R291_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2162 PE=4 SV=1"
"D9R298"	1505600	3963100	1281800	3074600	3376800	4285900	3701600	6131400	"D9R298_CLOSW PTS system, N-acetylglucosamine-specific IIBC subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2169 PE=4 SV=1"
"D9R2A0"	NA	NA	NA	NA	2373100	NA	2478800	NA	"D9R2A0_CLOSW PTS system, glucose subfamily, IIA subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2171 PE=4 SV=1"
"D9R2A1"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R2A1_CLOSW Transcriptional antiterminator, BglG OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2172 PE=4 SV=1"
"D9R2A5"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R2A5_CLOSW Cytochrome b5 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2177 PE=4 SV=1"
"D9R2A9"	NA	NA	NA	67598	NA	NA	NA	NA	"D9R2A9_CLOSW Inosine monophosphate cyclohydrolase-like protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2181 PE=4 SV=1"
"D9R2B1"	NA	NA	21180	48574	NA	77532	NA	NA	"D9R2B1_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2183 PE=4 SV=1"
"D9R2B3"	NA	NA	NA	70320	74380	NA	116230	NA	"D9R2B3_CLOSW Aspartate carbamoyltransferase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=pyrB PE=3 SV=1"
"D9R2B4"	NA	NA	NA	148680	NA	116400	483810	1350900	"D9R2B4_CLOSW Aspartate carbamoyltransferase regulatory subunit-like protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2186 PE=4 SV=1"
"D9R2B6"	NA	NA	NA	NA	NA	NA	596090	NA	"D9R2B6_CLOSW GTP cyclohydrolase 1 type 2 homolog OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2188 PE=3 SV=1"
"D9R2B8"	85116	94659	184240	117630	506730	616530	1476300	793280	"D9R2B8_CLOSW RNA polymerase sigma factor SigA OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=sigA PE=3 SV=1"
"D9R2C0"	NA	NA	NA	NA	63522	NA	NA	NA	"D9R2C0_CLOSW Deoxyguanosinetriphosphate triphosphohydrolase-like protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2192 PE=3 SV=1;tr"
"D9R2C3"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R2C3_CLOSW SpoIID/LytB domain protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2195 PE=4 SV=1"
"D9R2C6"	NA	NA	NA	NA	716940	920140	1438800	842510	"D9R2C6_CLOSW HAD-superfamily hydrolase, subfamily IA, variant 1 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2198 PE=4 SV=1"
"D9R2C7"	342420	176830	232750	3877000	2016000	458650	937890	609170	"D9R2C7_CLOSW Phosphoenolpyruvate carboxykinase (ATP) OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2199 PE=4 SV=1"
"D9R2D4"	109190	96650	91855	332080	681200	423400	1840700	1763600	"D9R2D4_CLOSW Ketol-acid reductoisomerase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=ilvC PE=3 SV=1"
"D9R2D5"	NA	NA	NA	NA	497330	470520	1790300	722530	"D9R2D5_CLOSW Acetolactate synthase, small subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2207 PE=4 SV=1"
"D9R2D8"	NA	NA	NA	NA	125640	157850	295180	11703	"D9R2D8_CLOSW Basic membrane lipoprotein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2210 PE=4 SV=1"
"D9R2E0"	NA	NA	NA	NA	99634	363460	295210	NA	"D9R2E0_CLOSW Ribonuclease R OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rnr PE=3 SV=1"
"D9R2E1"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R2E1_CLOSW Preprotein translocase, SecG subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_2213 PE=4 SV=1"
"D9R2E3"	NA	55052	NA	55285	193990	391550	532180	172080	"D9R2E3_CLOSW Phenylalanine--tRNA ligase beta subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=pheT PE=3 SV=1"
"D9R2E4"	NA	NA	NA	NA	NA	39024	NA	NA	"D9R2E4_CLOSW Phenylalanine--tRNA ligase alpha subunit OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=pheS PE=3 SV=1;tr"
"D9R2F3"	652420	1709200	731510	5894800	5611100	8306200	8375700	8190500	"D9R2F3_CLOSW Histone family protein DNA-binding protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4068 PE=3 SV=1"
"D9R2G0"	NA	NA	NA	NA	NA	739130	NA	446080	"D9R2G0_CLOSW Peptidyl-tRNA hydrolase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=pth PE=3 SV=1"
"D9R2G3"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R2G3_CLOSW Extracellular solute-binding protein family 1 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4078 PE=4 SV=1"
"D9R2G7"	58858	20263	60612	173490	765740	425910	1155900	1011700	"D9R2G7_CLOSW FAD dependent oxidoreductase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4082 PE=4 SV=1"
"D9R2H0"	2638400	3374900	3424700	4728800	8434700	7992100	17288000	10945000	"D9R2H0_CLOSW Trigger factor OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4085 PE=3 SV=1"
"D9R2H4"	NA	NA	NA	NA	429040	NA	73722	231630	"D9R2H4_CLOSW RelA/SpoT domain protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_4089 PE=4 SV=1"
