Entry	Entry name	Protein names	Gene names	Organism	EC number	Function [CC]	Pathway	Annotation	Site	Gene ontology (GO)	Gene ontology (biological process)
D9R971	D9R971_CLOSW	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA Closa_3293	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.8.1.13	FUNCTION: Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34. {ECO:0000256|HAMAP-Rule:MF_00144}.		3 out of 5	SITE 143 143 Interaction with tRNA. {ECO:0000256|HAMAP-Rule:MF_00144}.; SITE 355 355 Interaction with tRNA. {ECO:0000256|HAMAP-Rule:MF_00144}.	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; methyltransferase activity [GO:0008168]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; tRNA modification [GO:0006400]	tRNA modification [GO:0006400]
D9RAX9	D9RAX9_CLOSW	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC Closa_3654	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.6.1.52	FUNCTION: Catalyzes the reversible conversion of 3-phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4-phosphonooxybutanoate to phosphohydroxythreonine. {ECO:0000256|HAMAP-Rule:MF_00160, ECO:0000256|SAAS:SAAS00347519}.	PATHWAY: Amino-acid biosynthesis; L-serine biosynthesis; L-serine from 3-phospho-D-glycerate: step 2/3. {ECO:0000256|HAMAP-Rule:MF_00160, ECO:0000256|SAAS:SAAS00347488}.	3 out of 5		cytoplasm [GO:0005737]; O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; pyridoxal phosphate binding [GO:0030170]; L-serine biosynthetic process [GO:0006564]	L-serine biosynthetic process [GO:0006564]
D9R5L3	D9R5L3_CLOSW	dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)	dcd Closa_2631	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.5.4.30	FUNCTION: Bifunctional enzyme that catalyzes both the deamination of dCTP to dUTP and the hydrolysis of dUTP to dUMP without releasing the toxic dUTP intermediate. {ECO:0000256|HAMAP-Rule:MF_00146}.	PATHWAY: Pyrimidine metabolism; dUMP biosynthesis; dUMP from dCTP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00146}.	3 out of 5	SITE 110 111 Important for bifunctional activity. {ECO:0000256|HAMAP-Rule:MF_00146}.	dCTP deaminase (dUMP-forming) activity [GO:0033973]; dCTP deaminase activity [GO:0008829]; nucleotide binding [GO:0000166]; dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]	dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]
D9R545	D9R545_CLOSW	Shikimate kinase (SK) (EC 2.7.1.71)	aroK Closa_2586	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.71	FUNCTION: Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate. {ECO:0000256|HAMAP-Rule:MF_00109}.	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 5/7. {ECO:0000256|HAMAP-Rule:MF_00109, ECO:0000256|SAAS:SAAS01080056}.	3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; shikimate kinase activity [GO:0004765]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
D9R163	D9R163_CLOSW	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB Closa_2031	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	4.2.3.4	FUNCTION: Catalyzes the conversion of 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ). {ECO:0000256|HAMAP-Rule:MF_00110, ECO:0000256|SAAS:SAAS00858858}.	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 2/7. {ECO:0000256|HAMAP-Rule:MF_00110, ECO:0000256|SAAS:SAAS00210851}.	3 out of 5		cytoplasm [GO:0005737]; 3-dehydroquinate synthase activity [GO:0003856]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
D9R0T1	D9R0T1_CLOSW	Shikimate kinase (SK) (EC 2.7.1.71)	aroK Closa_0087	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.71	FUNCTION: Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate. {ECO:0000256|HAMAP-Rule:MF_00109}.	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 5/7. {ECO:0000256|HAMAP-Rule:MF_00109}.	3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; shikimate kinase activity [GO:0004765]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
D9R9D2	D9R9D2_CLOSW	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS Closa_3356	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.1.1.23	FUNCTION: Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps: L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp/Asn). {ECO:0000256|HAMAP-Rule:MF_02075}.		3 out of 5	SITE 90 90 Important for tRNA non-discrimination. {ECO:0000256|HAMAP-Rule:MF_02075}.	cytoplasm [GO:0005737]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; aspartyl-tRNA aminoacylation [GO:0006422]	aspartyl-tRNA aminoacylation [GO:0006422]
D9R7W2	D9R7W2_CLOSW	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA Closa_3083	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.2.1.70	FUNCTION: Catalyzes the NADPH-dependent reduction of glutamyl-tRNA(Glu) to glutamate 1-semialdehyde (GSA). {ECO:0000256|HAMAP-Rule:MF_00087}.	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; 5-aminolevulinate from L-glutamyl-tRNA(Glu): step 1/2. {ECO:0000256|HAMAP-Rule:MF_00087, ECO:0000256|SAAS:SAAS00358571}.	3 out of 5	SITE 107 107 Important for activity. {ECO:0000256|HAMAP-Rule:MF_00087, ECO:0000256|PIRSR:PIRSR000445-4}.	glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]; protoporphyrinogen IX biosynthetic process [GO:0006782]	protoporphyrinogen IX biosynthetic process [GO:0006782]
D9R3G9	D9R3G9_CLOSW	Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein)	Closa_2345	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	4.1.1.36; 6.3.2.5	FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000256|RuleBase:RU364078}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000256|RuleBase:RU364078}.	3 out of 5		integral component of membrane [GO:0016021]; FMN binding [GO:0010181]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]
D9R8T4	D9R8T4_CLOSW	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh Closa_1306	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.1.1.27	FUNCTION: Catalyzes the conversion of lactate to pyruvate. {ECO:0000256|HAMAP-Rule:MF_00488, ECO:0000256|SAAS:SAAS01045117}.	PATHWAY: Fermentation; pyruvate fermentation to lactate; (S)-lactate from pyruvate: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00488}.	3 out of 5		cytoplasm [GO:0005737]; L-lactate dehydrogenase activity [GO:0004459]; glycolytic process [GO:0006096]	glycolytic process [GO:0006096]
D9R466	D9R466_CLOSW	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon Closa_2363	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.4.21.53	FUNCTION: ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner. {ECO:0000256|HAMAP-Rule:MF_01973, ECO:0000256|SAAS:SAAS00004329}.		3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
D9R114	D9R114_CLOSW	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31); Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19)]	hisI hisIE Closa_1982	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.6.1.31; 3.5.4.19		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 2/9. {ECO:0000256|HAMAP-Rule:MF_01019, ECO:0000256|SAAS:SAAS00071019}.; PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 3/9. {ECO:0000256|HAMAP-Rule:MF_01019, ECO:0000256|SAAS:SAAS00976563}.	3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; histidine biosynthetic process [GO:0000105]	histidine biosynthetic process [GO:0000105]
D9R5K9	D9R5K9_CLOSW	Multifunctional fusion protein [Includes: Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase); Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)]	msrA msrB Closa_2627	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.8.4.11; 1.8.4.12	FUNCTION: Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine. {ECO:0000256|HAMAP-Rule:MF_01401}.		3 out of 5		peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular protein modification process [GO:0006464]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cellular protein modification process [GO:0006464]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]
D9R9Y0	D9R9Y0_CLOSW	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44)	cheB Closa_3426	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.1.61; 3.5.1.44	FUNCTION: Involved in chemotaxis. Part of a chemotaxis signal transduction system that modulates chemotaxis in response to various stimuli. Catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins or MCP) by CheR. Also mediates the irreversible deamidation of specific glutamine residues to glutamic acid. {ECO:0000256|HAMAP-Rule:MF_00099, ECO:0000256|SAAS:SAAS01100814}.		3 out of 5		cytoplasm [GO:0005737]; phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]; chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]	chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]
D9R519	D9R519_CLOSW	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon Closa_2558	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.4.21.53	FUNCTION: ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner. {ECO:0000256|HAMAP-Rule:MF_01973, ECO:0000256|SAAS:SAAS00004329}.		3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
D9R559	D9R559_CLOSW	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE Closa_2600	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.1.1.25	FUNCTION: Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA). {ECO:0000256|HAMAP-Rule:MF_00222, ECO:0000256|SAAS:SAAS00554845}.	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 4/7. {ECO:0000256|HAMAP-Rule:MF_00222, ECO:0000256|SAAS:SAAS00345989}.	3 out of 5		NADP binding [GO:0050661]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]	aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]
D9R993	D9R993_CLOSW	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA Closa_3315	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.5.1.2	FUNCTION: DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA. {ECO:0000256|HAMAP-Rule:MF_01588}.		3 out of 5		DNA binding [GO:0003677]; DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	DNA repair [GO:0006281]; DNA replication [GO:0006260]
D9R1Q9	D9R1Q9_CLOSW	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG Closa_0157	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	6.1.1.10	FUNCTION: Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation. {ECO:0000256|HAMAP-Rule:MF_01228, ECO:0000256|SAAS:SAAS00621504}.		3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]	methionyl-tRNA aminoacylation [GO:0006431]
D9R3X6	D9R3X6_CLOSW	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Closa_0452	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.4.1	FUNCTION: Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP). {ECO:0000256|HAMAP-Rule:MF_00347, ECO:0000256|RuleBase:RU003800, ECO:0000256|SAAS:SAAS00537780}.		3 out of 5		polyphosphate kinase complex [GO:0009358]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]; polyphosphate biosynthetic process [GO:0006799]	polyphosphate biosynthetic process [GO:0006799]
D9R8E6	D9R8E6_CLOSW	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF Closa_1295	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	4.6.1.12	FUNCTION: Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4-diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP). {ECO:0000256|HAMAP-Rule:MF_00107, ECO:0000256|SAAS:SAAS01078181}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 4/6. {ECO:0000256|HAMAP-Rule:MF_00107, ECO:0000256|SAAS:SAAS01078193}.	3 out of 5	SITE 34 34 Transition state stabilizer. {ECO:0000256|HAMAP-Rule:MF_00107}.; SITE 133 133 Transition state stabilizer. {ECO:0000256|HAMAP-Rule:MF_00107}.	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]
D9R0Z7	D9R0Z7_CLOSW	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD Closa_1965	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.7.3	FUNCTION: Reversibly transfers an adenylyl group from ATP to 4'-phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate. {ECO:0000256|HAMAP-Rule:MF_00151, ECO:0000256|SAAS:SAAS00109030}.	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 4/5. {ECO:0000256|HAMAP-Rule:MF_00151, ECO:0000256|SAAS:SAAS00108991}.	3 out of 5	SITE 17 17 Transition state stabilizer. {ECO:0000256|HAMAP-Rule:MF_00151}.	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantetheine-phosphate adenylyltransferase activity [GO:0004595]; coenzyme A biosynthetic process [GO:0015937]	coenzyme A biosynthetic process [GO:0015937]
D9R047	D9R047_CLOSW	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Closa_1919	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	3.1.26.3	FUNCTION: Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre-crRNA and tracrRNA of type II CRISPR loci if present in the organism. {ECO:0000256|HAMAP-Rule:MF_00104}.		3 out of 5		cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]; mRNA processing [GO:0006397]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	mRNA processing [GO:0006397]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]
D9R7W4	D9R7W4_CLOSW	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK Closa_3085	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.30	FUNCTION: Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn-glycerol 3-phosphate. {ECO:0000256|HAMAP-Rule:MF_00186, ECO:0000256|SAAS:SAAS00193194}.	PATHWAY: Polyol metabolism; glycerol degradation via glycerol kinase pathway; sn-glycerol 3-phosphate from glycerol: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00186, ECO:0000256|SAAS:SAAS00030105}.	3 out of 5		ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]	glycerol-3-phosphate metabolic process [GO:0006072]; glycerol catabolic process [GO:0019563]
D9QZY6	D9QZY6_CLOSW	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH Closa_1854	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.4.22	FUNCTION: Catalyzes the reversible phosphorylation of UMP to UDP. {ECO:0000256|HAMAP-Rule:MF_01220, ECO:0000256|SAAS:SAAS01087336}.	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via de novo pathway; UDP from UMP (UMPK route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_01220, ECO:0000256|SAAS:SAAS00056421}.	3 out of 5		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UMP kinase activity [GO:0033862]; 'de novo' CTP biosynthetic process [GO:0044210]	'de novo' CTP biosynthetic process [GO:0044210]
D9QZZ0	D9QZZ0_CLOSW	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr Closa_1858	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	1.1.1.267	FUNCTION: Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP). {ECO:0000256|HAMAP-Rule:MF_00183, ECO:0000256|SAAS:SAAS00320182}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 1/6. {ECO:0000256|HAMAP-Rule:MF_00183, ECO:0000256|SAAS:SAAS00320176}.	3 out of 5		1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]; NADPH binding [GO:0070402]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]
D9R2I8	D9R2I8_CLOSW	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK Closa_4104	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	2.7.1.30	FUNCTION: Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn-glycerol 3-phosphate. {ECO:0000256|HAMAP-Rule:MF_00186, ECO:0000256|SAAS:SAAS00193194}.	PATHWAY: Polyol metabolism; glycerol degradation via glycerol kinase pathway; sn-glycerol 3-phosphate from glycerol: step 1/1. {ECO:0000256|HAMAP-Rule:MF_00186, ECO:0000256|SAAS:SAAS00030105}.	3 out of 5		ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]	glycerol-3-phosphate metabolic process [GO:0006072]; glycerol catabolic process [GO:0019563]
D9QZV0	D9QZV0_CLOSW	DNA gyrase subunit A (EC 5.99.1.3)	gyrA Closa_0006	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	5.99.1.3	FUNCTION: A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner. {ECO:0000256|HAMAP-Rule:MF_01897}.		3 out of 5		chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; DNA topological change [GO:0006265]; DNA-dependent DNA replication [GO:0006261]	DNA-dependent DNA replication [GO:0006261]; DNA topological change [GO:0006265]
